설치장소(도로명),경도,위도
서대문구 연희로2길11,126.9274945,37.5609088
서대문구 연희로2길13,126.9276303,37.56091
서대문구 연희로2길37,126.9282974,37.5601682
서대문구 신촌로7안길79,126.9321361,37.5600498
서대문구 신촌로7안길12,126.9316834,37.5592528
서대문구 신촌로7안길59-8,126.9310608,37.560842
서대문구 성산로20길24,126.9316554,37.5612168
서대문구 연세로4길73,126.9403276,37.558673
서대문구 연세로2나길 42,126.9392111,37.5575907
서대문구 연세로2라길51,126.9412973,37.5581321
서대문구 연세로2나길69,126.9404677,37.5583679
서대문구 연세로2나길34,126.9389086,37.5573718
서대문구 연세로2라길3,126.9394875,37.5572508
서대문구 연세로2길55,126.9397885,37.556776
서대문구 명물1길 30,126.9375655,37.5587022
